=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0331 | Loss = 19.177101 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0338 | Loss = 18.637808 | LR = 0.050000 | Correct: 44/52 | New best loss! (patience reset)
Step 0340 | Loss = 19.139570 | LR = 0.050000 | Correct: 42/52 | Patience: 2/200
Step 0345 | Loss = 18.296440 | LR = 0.050000 | Correct: 44/52 | New best loss! (patience reset)
Step 0349 | Loss = 17.803257 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0350 | Loss = 17.627348 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0354 | Loss = 17.213654 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0355 | Loss = 17.028625 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0356 | Loss = 16.834387 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0357 | Loss = 16.640886 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0358 | Loss = 16.573557 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0359 | Loss = 16.530327 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0360 | Loss = 16.301655 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0362 | Loss = 16.138042 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0364 | Loss = 16.034630 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0367 | Loss = 15.991715 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0368 | Loss = 15.748867 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0370 | Loss = 15.610786 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0371 | Loss = 15.571994 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0372 | Loss = 15.240445 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0378 | Loss = 15.111102 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0379 | Loss = 15.083479 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0380 | Loss = 14.939979 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0382 | Loss = 14.840406 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0386 | Loss = 14.742343 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0388 | Loss = 14.338548 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0390 | Loss = 14.380446 | LR = 0.050000 | Correct: 46/52 | Patience: 2/200
